net,length_um
cpu_inst.regfile_inst.registers\[10\]\[21\],16
_1490_,15.98
cpu_inst.regfile_inst.registers\[15\]\[10\],15.98
_1406_,15.92
cpu_inst.regfile_inst.registers\[4\]\[18\],15.92
_1636_,15.9
_0758_,15.88
_0990_,15.88
_1518_,15.86
cpu_inst.regfile_inst.registers\[11\]\[19\],15.86
cpu_inst.regfile_inst.registers\[2\]\[31\],15.86
cpu_inst.regfile_inst.registers\[4\]\[15\],15.86
_0586_,15.84
_0879_,15.8
_1347_,15.8
cpu_inst.regfile_inst.registers\[5\]\[11\],15.76
cpu_inst.regfile_inst.registers\[7\]\[6\],15.72
_2528_,15.7
net19,15.7
_1426_,15.68
_1783_,15.68
cpu_inst.display_inst.digit_select\[1\],15.68
_1546_,15.64
_2313_,15.62
_0840_,15.6
_2509_,15.6
cpu_inst.regfile_inst.registers\[10\]\[19\],15.58
cpu_inst.regfile_inst.registers\[5\]\[28\],15.56
_2515_,15.52
cpu_inst.regfile_inst.registers\[15\]\[16\],15.52
_2426_,15.48
cpu_inst.regfile_inst.registers\[25\]\[19\],15.48
_1135_,15.46
_1151_,15.46
cpu_inst.regfile_inst.registers\[1\]\[19\],15.46
_1681_,15.44
_1907_,15.4
cpu_inst.regfile_inst.registers\[0\]\[8\],15.4
cpu_inst.regfile_inst.registers\[1\]\[9\],15.4
cpu_inst.regfile_inst.registers\[7\]\[4\],15.38
cpu_inst.regfile_inst.registers\[4\]\[26\],15.36
cpu_inst.regfile_inst.registers\[4\]\[20\],15.325
_2295_,15.32
cpu_inst.regfile_inst.registers\[25\]\[20\],15.32
_1263_,15.23
_1167_,15.22
cpu_inst.regfile_inst.registers\[10\]\[11\],15.22
_1150_,15.2
cpu_inst.regfile_inst.registers\[25\]\[2\],15.2
_0638_,15.14
_1413_,15.12
cpu_inst.regfile_inst.registers\[5\]\[4\],15.12
_1816_,15.1
cpu_inst.regfile_inst.registers\[1\]\[25\],15.1
_0948_,15.06
cpu_inst.regfile_inst.registers\[10\]\[29\],15.06
cpu_inst.regfile_inst.registers\[25\]\[30\],15.06
_0727_,15.02
cpu_inst.regfile_inst.registers\[25\]\[13\],15
cpu_inst.decoder_inst.current_pc\[11\],14.995
_0672_,14.98
_1125_,14.98
cpu_inst.regfile_inst.registers\[5\]\[24\],14.98
_0655_,14.9
cpu_inst.regfile_inst.registers\[15\]\[25\],14.88
cpu_inst.display_inst.counter\[6\],14.86
_0599_,14.82
_1085_,14.82
_1440_,14.8
_0999_,14.76
_1035_,14.74
cpu_inst.regfile_inst.registers\[1\]\[31\],14.72
cpu_inst.regfile_inst.registers\[8\]\[5\],14.66
_0995_,14.64
cpu_inst.regfile_inst.registers\[4\]\[11\],14.64
cpu_inst.regfile_inst.registers\[8\]\[13\],14.62
_1071_,14.6
